Domain_code,Domain,Area_code,Area,Element _code,Element,Crop _code,Crop,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,114,Kenya,5312,Area harvested,217,"Cashew nuts, with shell",2017,2017,ha,24715,,Official data
QC,Crops,114,Kenya,5312,Area harvested,217,"Cashew nuts, with shell",2018,2018,ha,22655,,Official data
QC,Crops,114,Kenya,5312,Area harvested,217,"Cashew nuts, with shell",2019,2019,ha,22686,,Official data
QC,Crops,114,Kenya,5419,Yield,217,"Cashew nuts, with shell",2016,2016,hg/ha,8365,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,217,"Cashew nuts, with shell",2017,2017,hg/ha,7714,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,217,"Cashew nuts, with shell",2018,2018,hg/ha,6114,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,217,"Cashew nuts, with shell",2019,2019,hg/ha,5643,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,217,"Cashew nuts, with shell",2016,2016,tonnes,24954,,Official data
QC,Crops,114,Kenya,5510,Production,217,"Cashew nuts, with shell",2017,2017,tonnes,19066,,Official data
QC,Crops,114,Kenya,5510,Production,217,"Cashew nuts, with shell",2018,2018,tonnes,13852,,Official data
QC,Crops,114,Kenya,5510,Production,217,"Cashew nuts, with shell",2019,2019,tonnes,12802,,Official data
QC,Crops,114,Kenya,5312,Area harvested,125,Cassava,2016,2016,ha,46535,,Official data
QC,Crops,114,Kenya,5312,Area harvested,125,Cassava,2017,2017,ha,68435,,Official data
QC,Crops,114,Kenya,5312,Area harvested,125,Cassava,2018,2018,ha,61592,,Official data
QC,Crops,114,Kenya,5312,Area harvested,125,Cassava,2019,2019,ha,69621,Im,FAO data based on imputation methodology
QC,Crops,114,Kenya,5419,Yield,125,Cassava,2016,2016,hg/ha,122886,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,125,Cassava,2017,2017,hg/ha,115413,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,125,Cassava,2018,2018,hg/ha,153590,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,125,Cassava,2019,2019,hg/ha,139410,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,125,Cassava,2016,2016,tonnes,571848,,Official data
QC,Crops,114,Kenya,5510,Production,125,Cassava,2017,2017,tonnes,789830,,Official data
QC,Crops,114,Kenya,5510,Production,125,Cassava,2018,2018,tonnes,945991,,Official data
QC,Crops,114,Kenya,5510,Production,125,Cassava,2019,2019,tonnes,970587,,Official data
QC,Crops,114,Kenya,5312,Area harvested,265,Castor oil seed,2016,2016,ha,13000,*,Unofficial figure
QC,Crops,114,Kenya,5312,Area harvested,265,Castor oil seed,2017,2017,ha,14000,*,Unofficial figure
QC,Crops,114,Kenya,5312,Area harvested,265,Castor oil seed,2018,2018,ha,14000,*,Unofficial figure
QC,Crops,114,Kenya,5312,Area harvested,265,Castor oil seed,2019,2019,ha,14000,*,Unofficial figure
QC,Crops,114,Kenya,5419,Yield,265,Castor oil seed,2016,2016,hg/ha,2308,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,265,Castor oil seed,2017,2017,hg/ha,2143,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,265,Castor oil seed,2018,2018,hg/ha,2143,Fc,Calculated data
QC,Crops,114,Kenya,5419,Yield,265,Castor oil seed,2019,2019,hg/ha,2857,Fc,Calculated data
QC,Crops,114,Kenya,5510,Production,265,Castor oil seed,2016,2016,tonnes,3000,*,Unofficial figure
QC,Crops,114,Kenya,5510,Production,265,Castor oil seed,2017,2017,tonnes,3000,*,Unofficial figure
QC,Crops,114,Kenya,5510,Production,265,Castor oil seed,2018,2018,tonnes,3000,*,Unofficial figure
QC,Crops,114,Kenya,5510,Production,265,Castor oil seed,2019,2019,tonnes,4000,*,Unofficial figure
QC,Crops,114,Kenya,5312,Area harvested,393,Cauliflowers and broccoli,2016,2016,ha,66,,Official data
QC,Crops,114,Kenya,5312,Area harvested,393,Cauliflowers and broccoli,2017,2017,ha,250,Im,FAO data based on imputation methodology
